"PAGNUM","PAGFEC","CLICOD","","","","","","","",""
"6080","20190221","1709","","","","","","","",""
"6081","20190221","1625","","","","","","","",""
"6082","20190221","1697","","","","","","","",""
"6083","20190222","1593","","","","","","","",""
"6084","20190222","1729","","","","","","","",""
"6085","20190222","547","","","","","","","",""
"6086","20190222","1515","","","","","","","",""
"6087","20190222","1541","","","","","","","",""
"6088","20190222","1679","","","","","","","",""
"6089","20190225","1767","","","","","","","",""
"6090","20190225","1499","","","","","","","",""
"6091","20190225","1636","","","","","","","",""
"6092","20190225","758","","","","","","","",""
"6093","20190225","1753","","","","","","","",""
"6094","20190225","1445","","","","","","","",""
"6095","20190226","574","","","","","","","",""
"6096","20190226","1733","","","","","","","",""
"6097","20190226","1085","","","","","","","",""
"6098","20190226","990","","","","","","","",""
"6099","20190226","945","","","","","","","",""
"6100","20190226","17","","","","","","","",""
"6101","20190226","1722","","","","","","","",""
"6102","20190226","1760","","","","","","","",""
"6103","20190226","1729","","","","","","","",""
"6104","20190228","1443","","","","","","","",""
"6105","20190301","163","","","","","","","",""
"6106","20190301","1471","","","","","","","",""
"6107","20190301","944","","","","","","","",""
"6108","20190301","943","","","","","","","",""
"6109","20190301","1035","","","","","","","",""
"6110","20190301","1238","","","","","","","",""
"6111","20190301","185","","","","","","","",""
"6112","20190301","1191","","","","","","","",""
"6113","20190301","1708","","","","","","","",""
"6114","20190301","1721","","","","","","","",""
"6115","20190301","1443","","","","","","","",""
"6116","20190301","1238","","","","","","","",""
"6117","20190301","1471","","","","","","","",""
"6118","20190301","1571","","","","","","","",""
"6119","20190306","1593","","","","","","","",""
"6120","20190306","1566","","","","","","","",""
"6121","20190306","1194","","","","","","","",""
"6122","20190306","1708","","","","","","","",""
"6123","20190307","1729","","","","","","","",""
"6124","20190311","1272","","","","","","","",""
"6125","20190311","1721","","","","","","","",""
"6126","20190311","455","","","","","","","",""
"6127","20190311","1729","","","","","","","",""
"6128","20190312","1145","","","","","","","",""
"6130","20190313","710","","","","","","","",""
"6131","20190313","1648","","","","","","","",""
"6132","20190313","1729","","","","","","","",""
"6133","20190315","1759","","","","","","","",""
"6134","20190318","1606","","","","","","","",""
"6135","20190318","401","","","","","","","",""
"6136","20190319","185","","","","","","","",""
"6137","20190319","1708","","","","","","","",""
"6138","20190319","1651","","","","","","","",""
"6139","20190319","942","","","","","","","",""
"6140","20190319","1499","","","","","","","",""
"6141","20190319","1571","","","","","","","",""
"6142","20190319","1232","","","","","","","",""
"6143","20190320","1756","","","","","","","",""
"6144","20190320","33","","","","","","","",""
"6145","20190321","1663","","","","","","","",""
"6146","20190321","1187","","","","","","","",""
"6147","20190321","1698","","","","","","","",""
"6148","20190321","1220","","","","","","","",""
"6149","20190321","858","","","","","","","",""
"6150","20190322","1758","","","","","","","",""
"6151","20190322","78","","","","","","","",""
"6152","20190322","1752","","","","","","","",""
"6153","20190322","1204","","","","","","","",""
"6154","20190322","1515","","","","","","","",""
"6155","20190322","1571","","","","","","","",""
"6156","20190322","493","","","","","","","",""
"6157","20190322","1766","","","","","","","",""
"6158","20190322","1044","","","","","","","",""
"6159","20190322","586","","","","","","","",""
"6160","20190322","1748","","","","","","","",""
"6161","20190322","690","","","","","","","",""
"6162","20190322","1761","","","","","","","",""
"6163","20190322","1756","","","","","","","",""
"6164","20190325","1222","","","","","","","",""
"6165","20190325","710","","","","","","","",""
"6166","20190326","1205","","","","","","","",""
"6167","20190326","1042","","","","","","","",""
"6168","20190326","1207","","","","","","","",""
"6169","20190326","888","","","","","","","",""
"6170","20190326","1539","","","","","","","",""
"6171","20190326","189","","","","","","","",""
"6172","20190326","432","","","","","","","",""
"6173","20190326","1623","","","","","","","",""
"6174","20190326","15","","","","","","","",""
"6175","20190326","29","","","","","","","",""
"6176","20190326","431","","","","","","","",""
"6177","20190326","514","","","","","","","",""
"6178","20190326","1578","","","","","","","",""
"6179","20190326","1533","","","","","","","",""
"6180","20190326","1545","","","","","","","",""
"6181","20190326","1547","","","","","","","",""
"6182","20190326","1597","","","","","","","",""
"6183","20190326","184","","","","","","","",""
"6184","20190327","1753","","","","","","","",""
"6185","20190328","1713","","","","","","","",""
"6186","20190329","951","","","","","","","",""
"6187","20190329","1707","","","","","","","",""
"6188","20190329","1613","","","","","","","",""
"6189","20190329","1488","","","","","","","",""
"6190","20190329","1443","","","","","","","",""
"6191","20190329","1750","","","","","","","",""
"6192","20190401","1443","","","","","","","",""
"6193","20190401","1238","","","","","","","",""
"6194","20190401","409","","","","","","","",""
"6195","20190401","1761","","","","","","","",""
"6196","20190401","1471","","","","","","","",""
"6197","20190401","1450","","","","","","","",""
"6198","20190401","1452","","","","","","","",""
"6199","20190403","1471","","","","","","","",""
"6200","20190403","1471","","","","","","","",""
"6201","20190404","1311","","","","","","","",""
"6202","20190404","1769","","","","","","","",""
"6203","20190404","1499","","","","","","","",""
"6204","20190405","942","","","","","","","",""
"6205","20190405","1708","","","","","","","",""
"6206","20190405","33","","","","","","","",""
"6207","20190405","1753","","","","","","","",""
"6208","20190408","1708","","","","","","","",""
"6209","20190408","316","","","","","","","",""
"6210","20190408","1221","","","","","","","",""
"6213","20190408","1539","","","","","","","",""
"6214","20190408","1729","","","","","","","",""
"6215","20190409","401","","","","","","","",""
"6216","20190409","946","","","","","","","",""
"6217","20190409","1445","","","","","","","",""
"6218","20190410","1333","","","","","","","",""
"6219","20190410","1729","","","","","","","",""
"6220","20190411","747","","","","","","","",""
"6221","20190411","632","","","","","","","",""
"6222","20190411","622","","","","","","","",""
"6223","20190411","1222","","","","","","","",""
"6224","20190411","1699","","","","","","","",""
"6225","20190411","1750","","","","","","","",""
"6226","20190412","1044","","","","","","","",""
"6227","20190412","690","","","","","","","",""
"6228","20190412","947","","","","","","","",""
"6229","20190412","231","","","","","","","",""
"6230","20190412","1768","","","","","","","",""
"6231","20190412","1022","","","","","","","",""
"6232","20190412","221","","","","","","","",""
"6233","20190412","1022","","","","","","","",""
"6234","20190412","951","","","","","","","",""
"6235","20190412","1753","","","","","","","",""
"6236","20190415","1752","","","","","","","",""
"6237","20190415","1713","","","","","","","",""
"6238","20190415","885","","","","","","","",""
"6239","20190415","1509","","","","","","","",""
"6240","20190415","710","","","","","","","",""
"6241","20190416","1515","","","","","","","",""
"6242","20190416","758","","","","","","","",""
"6243","20190416","1729","","","","","","","",""
"6244","20190417","209","","","","","","","",""
"6245","20190417","209","","","","","","","",""
"6246","20190417","580","","","","","","","",""
"6247","20190418","1758","","","","","","","",""
"6248","20190422","1","","","","","","","",""
"6249","20190422","628","","","","","","","",""
"6250","20190422","1707","","","","","","","",""
"6251","20190422","1735","","","","","","","",""
"6252","20190422","1762","","","","","","","",""
"6253","20190422","1485","","","","","","","",""
"6254","20190423","1499","","","","","","","",""
"6255","20190423","542","","","","","","","",""
"6256","20190423","1469","","","","","","","",""
"6257","20190425","951","","","","","","","",""
"6258","20190425","1571","","","","","","","",""
"6259","20190426","1679","","","","","","","",""
"6260","20190426","104","","","","","","","",""
"6261","20190426","1708","","","","","","","",""
"6262","20190429","1213","","","","","","","",""
"6263","20190429","313","","","","","","","",""
"6264","20190429","188","","","","","","","",""
"6265","20190429","1600","","","","","","","",""
"6266","20190429","1762","","","","","","","",""
"6267","20190430","1539","","","","","","","",""
"6268","20190430","1692","","","","","","","",""
"6269","20190430","1743","","","","","","","",""
"6270","20190430","1756","","","","","","","",""
"6271","20190430","1539","","","","","","","",""
"6272","20190430","1753","","","","","","","",""
"6273","20190430","1704","","","","","","","",""
"6274","20190430","1194","","","","","","","",""
"6275","20190430","1582","","","","","","","",""
"6276","20190430","1751","","","","","","","",""
"6277","20190430","1601","","","","","","","",""
