"PAGNUM","PAGSEC","PAGTIP","PAGIMP","PAGCHENUM","PAGCHEBAN","PAGCHEEST","PAGOBS","","","","","","","",""
"5976","2","Deposito","85365.99","","CREDICOOP","","","","","","","","","",""
"5977","1","Deposito","1597.8","","CREDICOOP","","","","","","","","","",""
"5978","1","Deposito","8110","","CREDICOOP","","","","","","","","","",""
"5979","1","Efectivo","1145","","","","","","","","","","","",""
"5980","1","Efectivo","1800","","","","","","","","","","","",""
"5981","1","Efectivo","438","","","","","","","","","","","",""
"5982","1","Efectivo","800","","","","","","","","","","","",""
"5983","1","Deposito","5097.56","","NACION","","","","","","","","","",""
"5984","1","Deposito","13543.93","","CREDICOOP","","","","","","","","","",""
"5985","1","Cheque","22815","16512318","CHUBUT","","","","","","","","","",""
"5985","2","Cheque","39375.5","00250514","NACION","","","","","","","","","",""
"5985","3","Otros","2122.75","","RETENCION","","","","","","","","","",""
"5986","1","Cheque","34200","00250515","NACION","","","","","","","","","",""
"5986","2","Cheque","30013.25","00250516","NACION","","","","","","","","","",""
"5987","1","Cheque","36361.73","46984405","CREDICOOP","","","","","","","","","",""
"5988","1","Cheque","25820.45","01229838","NACION","","","","","","","","","",""
"5988","2","Cheque","19982","01229839","NACION","","","","","","","","","",""
"5989","1","Cheque","20000","04633545","SANTA CRUZ","","","","","","","","","",""
"5989","2","Cheque","20000","04633546","SANTA CRUZ","","","","","","","","","",""
"5989","3","Cheque","20000","04633547","SANTA CRUZ","","","","","","","","","",""
"5989","4","Cheque","22520.64","04633548","SANTA CRUZ","","","","","","","","","",""
"5990","1","Efectivo","4516.72","","","","","","","","","","","",""
"5991","1","Cheque","11527.1","60352666","GALICIA","","","","","","","","","",""
"5991","2","Cheque","11527.08","60352667","GALICIA","","","","","","","","","",""
"5992","1","Cheque","2196.05","46711297","CREDICOOP","","","","","","","","","",""
"5992","2","Cheque","2196.05","46711320","CREDICOOP","","","","","","","","","",""
"5993","1","Efectivo","373","","","","","","","","","","","",""
"5994","1","Deposito","1000","","CREDICOOP","","","","","","","","","",""
"5996","1","Deposito","3300","","CREDICOOP","","","","","","","","","",""
"5997","1","Efectivo","2667.9","","","","","","","","","","","",""
"5998","1","Efectivo","4404.23","","","","","","","","","","","",""
"5999","1","Cheque","6800","46000199","LA PAMPA","","","","","","","","","",""
"5999","2","Efectivo","938.33","","","","","","","","","","","",""
"6000","1","Cheque","4000","01823530","NACION","","","","","","","","","",""
"6000","2","Efectivo","1249.65","","","","","","","","","","","",""
"6001","1","Efectivo","5601.47","","","","","","","","","","","",""
"6002","1","Efectivo","3090.02","","","","","","","","","","","",""
"6003","1","Efectivo","4459.8","","","","","","","","","","","",""
"6004","1","Cheque","15500","00552461","NACION","","","","","","","","","",""
"6004","2","Efectivo","467.48","","","","","","","","","","","",""
"6005","1","Deposito","4500","","CREDICOOP","","","","","","","","","",""
"6006","1","Cheque","10000","32109685","LA PAMPA","","","","","","","","","",""
"6007","1","Cheque","7900","12467344","GALICIA","","","","","","","","","",""
"6007","2","Cheque","7900","12467345","GALICIA","","","","","","","","","",""
"6007","3","Cheque","7900","12467346","GALICIA","","","","","","","","","",""
"6008","1","Deposito","6796","","CREDICOOP","","","","","","","","","",""
"6009","1","Deposito","5688","","CREDICOOP","","","","","","","","","",""
"6010","1","Deposito","2000","","CREDICOOP","","","","","","","","","",""
"6011","1","Efectivo","10281.34","","","","","","","","","","","",""
"6012","1","Efectivo","7567.97","","","","","","","","","","","",""
"6013","1","Efectivo","30908.11","","","","","","","","","","","",""
"6014","1","Efectivo","11080","","","","","","","","","","","",""
"6015","1","Efectivo","70500","","","","","","","","","","","",""
"6016","1","Efectivo","1533","","","","","","","","","","","",""
"6017","1","Cheque","33000","6943","CREDICOOP","","","","","","","","","",""
"6017","2","Efectivo","33000","","","","","","","","","","","",""
"6018","1","Cheque","45000","2058","CREDICOOP","","","","","","","","","",""
"6018","2","Efectivo","45000","","","","","","","","","","","",""
"6019","1","Efectivo","1000","","","","","","","","","","","",""
"6020","1","Efectivo","4927.5","","","","","","","","","","","",""
"6021","1","Cheque","28000","3724","CREDICOOP","","","","","","","","","",""
"6021","2","Efectivo","33000","","","","","","","","","","","",""
"6022","1","Efectivo","6000","","","","","","","","","","","",""
"6023","1","Efectivo","15897.45","","","","","","","","","","","",""
"6024","1","Efectivo","4299.4","","","","","","","","","","","",""
"6025","1","Cheque","14000","46683552","CREDICOOP","","","","","","","","","",""
"6025","2","Cheque","15064.2","46683553","CREDICOOP","","","","","","","","","",""
"6026","1","Efectivo","1105","","","","","","","","","","","",""
"6027","1","Cheque","5210","93833847","ICBC","","","","","","","","","",""
"6027","2","Cheque","5210","93833848","ICBC","","","","","","","","","",""
"6027","3","Cheque","5210","94136159","ICBC","","","","","","","","","",""
"6027","4","Cheque","5210","93833850","ICBC","","","","","","","","","",""
"6027","5","Cheque","5210","93191297","ICBC","","","","","","","","","",""
