"PRODCOD","PRODDES","PRODPRE","TIPCOD","PRODSEX","PRODSTO","SUBTIPCOD","PRODSINI","PRODEST","PRODCOM","","","","","","","",""
"84","","166","H","","0","H","-4","A","P","","","","","","","",""
"85","","166","H","","448","H","-2","A","P","","","","","","","",""
"86","MANAWA PERFUMINA 260 ML","166","H","FEMENINO","86","H","-1","A","P","","","","","","","",""
"87","","166","H","FEMENINO","0","H","-1","A","P","","","","","","","",""
"88","","166","H","FEMENINO","0","H","0","A","P","","","","","","","",""
"89","","166","H","FEMENINO","0","H","0","A","P","","","","","","","",""
"90","PAPAYA 250 ML PERF.","166","Z","FEMENINO","369","PER","-7","A","P","","","","","","","",""
"91","LIMON 250 ML PERFUMINA","166","Z","MASCULINO","320","PER","-9","A","P","","","","","","","",""
"92","FRUTOS ROJOS 250 ML PERFU","166","Z","MASCULINO","462","PER","-6","A","P","","","","","","","",""
"93","CHOCOLATE 250 ML PERFUM","166","Z","MASCULINO","415","PER","-14","A","P","","","","","","","",""
"94","ALMENDRA 250 ML PERFUMINA","166","Z","MASCULINO","448","PER","-8","A","P","","","","","","","",""
"95","BAMBU 250 ML PERFUMINA","166","Z","MASCULINO","362","PER","-2","A","P","","","","","","","",""
"96","COCO Y VAINILLA 250 ML PR","166","Z","MASCULINO","449","PER","-3","A","P","","","","","","","",""
"VALV D","","0","4","","0","ST","0","A","P","","","","","","","",""
"0100","XS BLACK 53 ML","241","I","FEMENINO","301","01","0","A","P","","","","","","","",""
"0101","","241","I","FEMENINO","0","01","0","I","P","","","","","","","",""
"0102","","241","I","FEMENINO","0","01","0","I","P","","","","","","","",""
"413","ONE MILLON 53 ML","241","I","MASCULINO","215","02","0","A","P","","","","","","","",""
"414","CH DE CAR. HERRERA 53 ML","241","I","MASCULINO","211","02","0","A","P","","","","","","","",""
"500","EXCITE EXCLUSIVA FEMENINA","942","R","","0","111","0","A","P","","","","","","","",""
"501","EXCITE EXCLUSIVA MASCUL.","942","R","","-16","111","0","A","P","","","","","","","",""
"E200","","0","G","","0","G","0","A","P","","","","","","","",""
"E201","","0","G","","0","G","0","A","P","","","","","","","",""
"E202","","0","G","","0","G","0","A","P","","","","","","","",""
"E203","","0","G","","0","G","0","A","P","","","","","","","",""
"E204","","0","G","","0","G","0","A","P","","","","","","","",""
"E205","","0","G","","0","G","0","A","P","","","","","","","",""
"E206","","0","G","","0","G","0","A","P","","","","","","","",""
"E207","","0","G","","0","G","0","A","P","","","","","","","",""
"E208","","0","G","","0","G","0","A","P","","","","","","","",""
"E209","","0","G","","0","G","0","A","P","","","","","","","",""
"021","NINA 50 ML","381","F","FEMENINO","259","FF","0","A","P","","","","","","","",""
"022","LADY MILLON 50 ML","381","F","FEMENINO","235","FF","0","A","P","","","","","","","",""
"023","SHAKIRA 50 ML","381","F","FEMENINO","206","FF","0","A","P","","","","","","","",""
"024","","381","F","","0","FF","0","A","P","","","","","","","",""
"36","","381","F","","0","FM","0","A","P","","","","","","","",""
"37","","381","F","","0","FM","0","A","P","","","","","","","",""
"38","","381","F","","0","FM","0","A","P","","","","","","","",""
"39","","381","F","","0","FM","0","A","P","","","","","","","",""
"0103","NINA 53 ML","241","I","FEMENINO","382","01","0","A","P","","","","","","","",""
"0104","LADY MILLON 53 ML","241","I","FEMENINO","73","01","0","A","P","","","","","","","",""
"0105","SHAKIRA 53 ML","241","I","FEMENINO","262","01","0","A","P","","","","","","","",""
"0106","","241","I","FEMENINO","0","01","0","I","P","","","","","","","",""
"415","","241","I","MASCULINO","0","02","0","I","P","","","","","","","",""
"416","","241","I","MASCULINO","0","02","0","I","P","","","","","","","",""
"417","","241","I","MASCULINO","0","02","0","I","P","","","","","","","",""
"418","","241","I","","0","02","0","I","P","","","","","","","",""
"E150","E. AROMATICO SKIP","39.9","A","","1","R","0","A","P","","","","","","","",""
"E151","E.AROMATICO HERBAL","39.9","A","","0","R","0","A","P","","","","","","","",""
"E152","E.AROMATICO NAQ. CHAMPA","39.9","A","","0","R","0","A","P","","","","","","","",""
"E153","E.AROMATICO BLUBERRI","39.9","A","","0","R","0","A","P","","","","","","","",""
"E154","E. AROMATICO SILVESTRE","46.9","A","","0","R","0","A","P","","","","","","","",""
"E155","E.AROMATICO LEMONFLOR","46.9","A","","0","R","0","A","P","","","","","","","",""
"E156","E.AROMATICO CITRICO","46.9","A","","0","R","0","A","P","","","","","","","",""
"E157","E.AROMATICO VAINILLA","46.9","A","","0","R","0","A","P","","","","","","","",""
"P100","","0","V","","0","611","0","I","P","","","","","","","",""
"P101","","0","V","","0","611","0","I","P","","","","","","","",""
"P102","","0","V","","0","611","0","I","P","","","","","","","",""
"P103","","0","V","","0","611","0","I","P","","","","","","","",""
"P104","","0","V","","0","611","0","A","P","","","","","","","",""
"025","","381","F","FEMENINO","0","FF","0","A","P","","","","","","","",""
"026","","381","F","","0","FF","0","A","P","","","","","","","",""
"027","","381","F","FEMENINO","0","FF","0","A","P","","","","","","","",""
"028","CH CARO, HERRERA 50 ML","381","F","FEMENINO","278","FF","0","A","P","","","","","","","",""
"40","VIP MEN 50 ML","381","F","MASCULINO","418","FM","0","A","P","","","","","","","",""
"41","","381","F","MASCULINO","0","FM","0","A","P","","","","","","","",""
"42","","381","F","MASCULINO","0","FM","0","A","P","","","","","","","",""
"43","ONE MILLON 50 ML","381","F","MASCULINO","476","FM","0","A","P","","","","","","","",""
"B01","","0","L","","4","BO","0","A","P","","","","","","","",""
"B03","","0","L","","0","BO","0","A","P","","","","","","","",""
"B02","","0","L","","0","BO","0","A","P","","","","","","","",""
"S01","SAHUMERIO LIMON 10 UNI","33.5","M","","218","FC","0","A","P","","","","","","","",""
"S02","SAHMERIO MIRRA 10 UNI","33.5","M","","247","FC","0","A","P","","","","","","","",""
"S03","SAHU PALO SANTO 10 UNI","33.5","M","","362","FC","0","A","P","","","","","","","",""
"S04","SAHUMERIO PATCHULLI 10 UI","33.5","M","","351","FC","0","A","P","","","","","","","",""
"S05","SAHUMERIO LAVANDA 10 UNI","33.5","M","","436","FC","0","A","P","","","","","","","",""
"S06","SAHU M D ORIENTE 10 UNI","33.5","M","","403","FC","0","A","P","","","","","","","",""
"S07","SAHUMERIO INCIENSO 10 UNI","33.5","M","","116","FC","0","A","P","","","","","","","",""
"E01","ESENCIA LAVANDA 10 ML","63","U","","376","ESE","0","A","P","","","","","","","",""
"E02","ESENCIA AZAAR 10 ML","63","U","","703","ESE","0","A","P","","","","","","","",""
"E03","ESENCIA PATCHOULI 10 ML","63","U","","853","ESE","0","A","P","","","","","","","",""
"E04","ESENCIA SANDALO 10 ML","63","U","","933","ESE","0","A","P","","","","","","","",""
"E05","ESENCIA TILO 10 ML","63","U","","393","ESE","0","A","P","","","","","","","",""
"E06","ESENCIA VERBENA 10 ML","63","U","","426","ESE","0","A","P","","","","","","","",""
"E07","ESENCIA MANDARINA 10 ML","63","U","","844","ESE","0","A","P","","","","","","","",""
"SP","","0","S","","0","S3","0","A","P","","","","","","","",""
"SL","SALES LIMON 200 ML","64","S","","113","S3","0","A","P","","","","","","","",""
"SF","","0","S","","0","S3","0","A","P","","","","","","","",""
"SC","SALES CHOCOLATE 250 ML","64","S","","82","S3","0","A","P","","","","","","","",""
"SA","","0","S","","-557","S3","0","A","P","","","","","","","",""
