"FACLET","FACPV","FACNUM","PRODCOD","FACCAN","FACPRE","","","","","","","",""
"E","NaN","821","1224","6","108.6","","","","","","","",""
"E","NaN","821","124","6","80.6","","","","","","","",""
"E","NaN","821","1250","6","108.6","","","","","","","",""
"E","NaN","821","1251","6","108.6","","","","","","","",""
"E","NaN","821","1254","6","108.6","","","","","","","",""
"E","NaN","821","1255","6","108.6","","","","","","","",""
"E","NaN","821","14","6","196.5","","","","","","","",""
"E","NaN","821","21","6","196.5","","","","","","","",""
"E","NaN","821","22","6","196.5","","","","","","","",""
"E","NaN","821","23","6","196.5","","","","","","","",""
"E","NaN","821","25","6","196.5","","","","","","","",""
"E","NaN","821","31","6","196.5","","","","","","","",""
"E","NaN","821","40","9","196.5","","","","","","","",""
"E","NaN","821","43","9","196.5","","","","","","","",""
"E","NaN","821","44","3","196.5","","","","","","","",""
"E","NaN","821","45","6","196.5","","","","","","","",""
"E","NaN","821","600","6","94.6","","","","","","","",""
"E","NaN","821","601","6","94.6","","","","","","","",""
"E","NaN","821","72","6","80.6","","","","","","","",""
"E","NaN","821","82","6","80.6","","","","","","","",""
"E","NaN","821","86","6","80.6","","","","","","","",""
"E","NaN","821","SC","6","43.5","","","","","","","",""
"E","NaN","821","SFR","6","43.5","","","","","","","",""
"E","NaN","822","650","6","74.8","","","","","","","",""
"E","NaN","822","651","6","74.8","","","","","","","",""
"E","NaN","822","655","6","74.8","","","","","","","",""
"E","NaN","822","658","6","74.8","","","","","","","",""
"E","NaN","822","659","9","74.8","","","","","","","",""
"E","NaN","822","664","6","74.8","","","","","","","",""
"E","NaN","822","667","9","74.8","","","","","","","",""
"E","NaN","822","671","6","74.8","","","","","","","",""
"E","NaN","823","021","6","228.2","","","","","","","",""
"E","NaN","823","030","6","228.2","","","","","","","",""
"E","NaN","823","033","6","228.2","","","","","","","",""
"E","NaN","823","05","6","228.2","","","","","","","",""
"E","NaN","823","10","6","228.2","","","","","","","",""
"E","NaN","823","108","6","93.6","","","","","","","",""
"E","NaN","823","114","6","93.6","","","","","","","",""
"E","NaN","823","115","6","93.6","","","","","","","",""
"E","NaN","823","116","6","93.6","","","","","","","",""
"E","NaN","823","118","6","93.6","","","","","","","",""
"E","NaN","823","1206","6","126.1","","","","","","","",""
"E","NaN","823","1213","6","126.1","","","","","","","",""
"E","NaN","823","25","6","228.2","","","","","","","",""
"E","NaN","823","40","6","228.2","","","","","","","",""
"E","NaN","823","43","6","228.2","","","","","","","",""
"E","NaN","823","601","6","109.9","","","","","","","",""
"E","NaN","823","82","6","93.6","","","","","","","",""
"E","NaN","823","SL","3","50.6","","","","","","","",""
"E","NaN","824","650","6","75.5","","","","","","","",""
"E","NaN","824","655","6","75.5","","","","","","","",""
"E","NaN","824","658","6","75.5","","","","","","","",""
"E","NaN","824","659","6","75.5","","","","","","","",""
"E","NaN","824","664","6","75.5","","","","","","","",""
"E","NaN","824","667","6","75.5","","","","","","","",""
"E","NaN","825","028","6","228.2","","","","","","","",""
"E","NaN","825","10","6","228.2","","","","","","","",""
"E","NaN","825","114","6","93.6","","","","","","","",""
"E","NaN","825","1250","6","126.1","","","","","","","",""
"E","NaN","825","201","6","208","","","","","","","",""
"E","NaN","825","3002","6","44","","","","","","","",""
"E","NaN","825","44","6","228.2","","","","","","","",""
"E","NaN","825","600","6","109.9","","","","","","","",""
"E","NaN","825","72","6","93.6","","","","","","","",""
"E","NaN","825","82","6","93.6","","","","","","","",""
"E","NaN","825","86","6","93.6","","","","","","","",""
"E","NaN","825","SFR","3","50.6","","","","","","","",""
"E","NaN","825","SV","3","50.6","","","","","","","",""
"E","NaN","826","671","6","75.5","","","","","","","",""
"E","NaN","851","02","6","255.6","","","","","","","",""
"E","NaN","851","021","6","255.6","","","","","","","",""
"E","NaN","851","030","6","255.6","","","","","","","",""
"E","NaN","851","033","6","255.6","","","","","","","",""
"E","NaN","851","034","3","255.6","","","","","","","",""
"E","NaN","851","035","3","255.6","","","","","","","",""
"E","NaN","851","04","6","255.6","","","","","","","",""
"E","NaN","851","05","6","255.6","","","","","","","",""
"E","NaN","851","10","6","255.6","","","","","","","",""
"E","NaN","851","1206","6","141.3","","","","","","","",""
"E","NaN","851","1213","6","141.3","","","","","","","",""
"E","NaN","851","1215","3","141.3","","","","","","","",""
"E","NaN","851","1220","6","141.3","","","","","","","",""
"E","NaN","851","1224","3","141.3","","","","","","","",""
"E","NaN","851","1251","6","141.3","","","","","","","",""
"E","NaN","851","1255","6","141.3","","","","","","","",""
"E","NaN","851","21","6","255.6","","","","","","","",""
"E","NaN","851","22","3","255.6","","","","","","","",""
"E","NaN","851","23","6","255.6","","","","","","","",""
"E","NaN","851","25","6","255.6","","","","","","","",""
"E","NaN","851","26","6","255.6","","","","","","","",""
"E","NaN","851","31","9","255.6","","","","","","","",""
"E","NaN","851","40","6","255.6","","","","","","","",""
"E","NaN","851","43","6","255.6","","","","","","","",""
"E","NaN","851","45","3","255.6","","","","","","","",""
"E","NaN","851","46","6","255.6","","","","","","","",""
"E","NaN","852","650","6","84.6","","","","","","","",""
"E","NaN","852","655","6","84.6","","","","","","","",""
"E","NaN","852","658","6","84.6","","","","","","","",""
"E","NaN","852","659","6","84.6","","","","","","","",""
"E","NaN","852","664","6","84.6","","","","","","","",""
"E","NaN","852","667","6","84.6","","","","","","","",""
"E","NaN","852","671","6","84.6","","","","","","","",""
"E","NaN","853","02","6","300","","","","","","","",""
"E","NaN","853","021","6","300","","","","","","","",""
"E","NaN","853","029","6","300","","","","","","","",""
"E","NaN","853","030","6","300","","","","","","","",""
"E","NaN","853","033","6","300","","","","","","","",""
"E","NaN","853","05","6","300","","","","","","","",""
"E","NaN","853","10","6","300","","","","","","","",""
"E","NaN","853","105","6","124","","","","","","","",""
"E","NaN","853","108","6","124","","","","","","","",""
"E","NaN","853","114","6","124","","","","","","","",""
"E","NaN","853","116","6","124","","","","","","","",""
"E","NaN","853","125","6","124","","","","","","","",""
"E","NaN","853","14","6","300","","","","","","","",""
"E","NaN","853","18","6","300","","","","","","","",""
"E","NaN","853","19","6","300","","","","","","","",""
"E","NaN","853","190","6","124","","","","","","","",""
"E","NaN","853","194","6","124","","","","","","","",""
"E","NaN","853","21","6","300","","","","","","","",""
"E","NaN","853","25","6","300","","","","","","","",""
"E","NaN","853","40","6","300","","","","","","","",""
"E","NaN","853","43","6","300","","","","","","","",""
"E","NaN","853","45","6","300","","","","","","","",""
"E","NaN","853","72","6","124","","","","","","","",""
"E","NaN","853","82","6","124","","","","","","","",""
"E","NaN","854","1203","6","154","","","","","","","",""
"E","NaN","854","1206","6","154","","","","","","","",""
"E","NaN","854","1224","6","154","","","","","","","",""
"E","NaN","854","1251","6","154","","","","","","","",""
"E","NaN","854","1252","6","154","","","","","","","",""
"E","NaN","854","1255","6","154","","","","","","","",""
"E","NaN","854","600","6","125","","","","","","","",""
"E","NaN","854","601","6","125","","","","","","","",""
"E","NaN","854","SB","6","64","","","","","","","",""
"E","NaN","854","SC","6","64","","","","","","","",""
"E","NaN","854","SFB","6","64","","","","","","","",""
"E","NaN","854","SFR","5","64","","","","","","","",""
"E","NaN","854","SL","6","64","","","","","","","",""
"E","NaN","854","SS","6","64","","","","","","","",""
"E","NaN","854","SV","5","64","","","","","","","",""
"E","NaN","855","650","6","99","","","","","","","",""
"E","NaN","855","655","6","99","","","","","","","",""
"E","NaN","855","657","6","99","","","","","","","",""
"E","NaN","855","659","6","99","","","","","","","",""
