"AJUNUM","AJUFEC","PRODCOD","AJUCAN","AJUOBS","","","","","","","",""
"207","20130227","091","5","","","","","","","","",""
"208","20130227","092","5","","","","","","","","",""
"209","20130227","095","5","","","","","","","","",""
"210","20130227","099","5","","","","","","","","",""
"211","20130227","0103","5","","","","","","","","",""
"212","20130227","084","8","","","","","","","","",""
"213","20130227","098","8","","","","","","","","",""
"214","20130227","0100","5","","","","","","","","",""
"215","20130227","0101","5","","","","","","","","",""
"216","20130227","0104","8","","","","","","","","",""
"217","20130227","0106","5","","","","","","","","",""
"218","20130227","401","5","","","","","","","","",""
"219","20130227","402","5","","","","","","","","",""
"220","20130227","403","5","","","","","","","","",""
"221","20130227","404","8","","","","","","","","",""
"222","20130227","407","8","","","","","","","","",""
"223","20130227","408","5","","","","","","","","",""
"224","20130227","409","8","","","","","","","","",""
"225","20130227","410","5","","","","","","","","",""
"226","20130227","411","8","","","","","","","","",""
"227","20130227","413","7","","","","","","","","",""
"228","20130227","414","7","","","","","","","","",""
"229","20130227","415","3","","","","","","","","",""
"230","20130227","413","2","","","","","","","","",""
"231","20130227","413","-2","","","","","","","","",""
"232","20130227","416","2","","","","","","","","",""
"233","20130227","417","3","","","","","","","","",""
"234","20130227","417","2","","","","","","","","",""
"237","20130227","0102","5","","","","","","","","",""
"238","20130227","418","2","","","","","","","","",""
"240","20130227","01","-96","","","","","","","","",""
"241","20130227","02","-97","","","","","","","","",""
"242","20130227","04","-100","","","","","","","","",""
"243","20130227","05","-100","","","","","","","","",""
"244","20130227","07","-100","","","","","","","","",""
"245","20130227","08","100","","","","","","","","",""
"246","20130227","09","-96","","","","","","","","",""
"247","20130227","11","-100","","","","","","","","",""
"249","20130227","12","-100","","","","","","","","",""
"250","20130227","13","-100","","","","","","","","",""
"251","20130227","14","-98","","","","","","","","",""
"252","20130227","15","-97","","","","","","","","",""
"253","20130227","16","-100","","","","","","","","",""
"254","20130227","18","-100","","","","","","","","",""
"255","20130227","19","-98","","","","","","","","",""
"256","20130227","020","-100","","","","","","","","",""
"257","20130227","021","-96","","","","","","","","",""
"258","20130227","022","-98","","","","","","","","",""
"259","20130227","023","-100","","","","","","","","",""
"260","20130227","024","-100","","","","","","","","",""
"261","20130227","20","-100","","","","","","","","",""
"262","20130227","21","-94","","","","","","","","",""
"263","20130227","22","-100","","","","","","","","",""
"264","20130227","23","-96","","","","","","","","",""
"265","20130227","24","-97","","","","","","","","",""
"266","20130227","25","-96","","","","","","","","",""
"267","20130227","26","-100","","","","","","","","",""
"268","20130227","27","-98","","","","","","","","",""
"269","20130227","28","-98","","","","","","","","",""
"270","20130227","29","-100","","","","","","","","",""
"271","20130227","30","-100","","","","","","","","",""
"272","20130227","31","-96","","","","","","","","",""
"273","20130227","32","-96","","","","","","","","",""
"274","20130227","33","-100","","","","","","","","",""
"275","20130227","36","-100","","","","","","","","",""
"276","20130227","37","-100","","","","","","","","",""
"277","20130227","38","-100","","","","","","","","",""
"278","20130227","39","-100","","","","","","","","",""
"281","20130227","08","-200","","","","","","","","",""
"282","20130227","10","-96","","","","","","","","",""
"284","20130227","417","-2","","","","","","","","",""
"286","20130304","080","20","","","","","","","","",""
"287","20130304","081","8","","","","","","","","",""
"288","20130304","083","20","","","","","","","","",""
"289","20130304","086","8","","","","","","","","",""
"290","20130304","088","8","","","","","","","","",""
"291","20130304","091","8","","","","","","","","",""
"292","20130304","098","12","","","","","","","","",""
"293","20130304","099","20","","","","","","","","",""
"294","20130304","0103","20","","","","","","","","",""
"295","20130304","0104","8","","","","","","","","",""
"296","20130304","0106","8","","","","","","","","",""
"297","20130304","401","20","","","","","","","","",""
"298","20130304","402","8","","","","","","","","",""
"299","20130304","403","8","","","","","","","","",""
"300","20130304","404","8","","","","","","","","",""
"301","20130304","407","8","","","","","","","","",""
"302","20130304","408","8","","","","","","","","",""
"303","20130304","410","8","","","","","","","","",""
"304","20130304","411","8","","","","","","","","",""
"305","20130304","412","8","","","","","","","","",""
"306","20130304","413","8","","","","","","","","",""
"307","20130304","414","20","","","","","","","","",""
"311","20130311","01","100","","","","","","","","",""
"312","20130311","02","100","","","","","","","","",""
"313","20130311","04","100","","","","","","","","",""
"314","20130311","05","100","","","","","","","","",""
"315","20130311","07","100","","","","","","","","",""
"316","20130311","08","100","","","","","","","","",""
