"REMNUM","PRODCOD","REMCAN","REMPRE","","","","","","","",""
"8560","0117","1","85.41","","","","","","","",""
"8560","021","1","145.47","","","","","","","",""
"8560","022","1","145.47","","","","","","","",""
"8560","029","1","145.47","","","","","","","",""
"8560","033","1","145.47","","","","","","","",""
"8560","05","1","145.47","","","","","","","",""
"8560","081","1","85.41","","","","","","","",""
"8560","083","2","85.41","","","","","","","",""
"8560","085","1","85.41","","","","","","","",""
"8560","092","2","85.41","","","","","","","",""
"8560","099","1","85.41","","","","","","","",""
"8560","10","2","145.47","","","","","","","",""
"8560","1200","4","76.99","","","","","","","",""
"8560","1201","4","76.99","","","","","","","",""
"8560","1204","4","76.99","","","","","","","",""
"8560","1207","8","76.99","","","","","","","",""
"8560","1210","4","76.99","","","","","","","",""
"8560","1213","4","76.99","","","","","","","",""
"8560","1215","5","76.99","","","","","","","",""
"8560","1218","8","76.99","","","","","","","",""
"8560","1222","6","76.99","","","","","","","",""
"8560","1251","10","76.99","","","","","","","",""
"8560","1253","3","76.99","","","","","","","",""
"8560","1254","8","76.99","","","","","","","",""
"8560","14","1","145.47","","","","","","","",""
"8560","2002","15","627.84","","","","","","","",""
"8560","2050","3","907.2","","","","","","","",""
"8560","22","2","145.47","","","","","","","",""
"8560","25","1","145.47","","","","","","","",""
"8560","26","1","145.47","","","","","","","",""
"8560","401","1","85.41","","","","","","","",""
"8560","402","2","85.41","","","","","","","",""
"8560","44","1","145.47","","","","","","","",""
"8560","45","1","145.47","","","","","","","",""
"8560","E08","7","19.97","","","","","","","",""
"8560","E10","4","19.97","","","","","","","",""
"8560","E15","3","19.97","","","","","","","",""
"8560","E20","7","19.97","","","","","","","",""
"8560","LL","4","21.29","","","","","","","",""
"8561","652","12","67.55","","","","","","","",""
"8561","654","12","67.55","","","","","","","",""
"8561","658","12","67.55","","","","","","","",""
"8561","670","12","67.55","","","","","","","",""
"8562","102","2","76.8","","","","","","","",""
"8562","103","2","76.8","","","","","","","",""
"8562","105","2","76.8","","","","","","","",""
"8562","111","2","76.8","","","","","","","",""
"8562","116","2","76.8","","","","","","","",""
"8562","120","2","76.8","","","","","","","",""
"8562","1203","3","98.7","","","","","","","",""
"8562","1204","3","98.7","","","","","","","",""
"8562","1207","3","98.7","","","","","","","",""
"8562","1210","3","98.7","","","","","","","",""
"8562","1213","3","98.7","","","","","","","",""
"8562","1214","3","98.7","","","","","","","",""
"8562","1220","3","98.7","","","","","","","",""
"8562","123","2","76.8","","","","","","","",""
"8562","1251","3","98.7","","","","","","","",""
"8562","1254","3","98.7","","","","","","","",""
"8562","194","3","76.8","","","","","","","",""
"8562","2002","1","872","","","","","","","",""
"8562","72","2","76.8","","","","","","","",""
"8562","79","2","76.8","","","","","","","",""
