"VENCOD","CLICOD","","","","","","","",""
"4","1320","","","","","","","",""
"139","1321","","","","","","","",""
"140","1322","","","","","","","",""
"140","1323","","","","","","","",""
"140","1324","","","","","","","",""
"140","1325","","","","","","","",""
"4","1326","","","","","","","",""
"4","1328","","","","","","","",""
"4","1329","","","","","","","",""
"140","1330","","","","","","","",""
"140","1331","","","","","","","",""
"20","1332","","","","","","","",""
"4","1333","","","","","","","",""
"4","1334","","","","","","","",""
"141","1335","","","","","","","",""
"4","1336","","","","","","","",""
"4","1337","","","","","","","",""
"4","1338","","","","","","","",""
"4","1339","","","","","","","",""
"4","1441","","","","","","","",""
"4","1442","","","","","","","",""
"4","1443","","","","","","","",""
"25","1444","","","","","","","",""
"4","1445","","","","","","","",""
"25","1205","","","","","","","",""
"139","1446","","","","","","","",""
"111","1447","","","","","","","",""
"139","1448","","","","","","","",""
"139","1451","","","","","","","",""
"139","1453","","","","","","","",""
"128","1455","","","","","","","",""
"128","1456","","","","","","","",""
"4","1457","","","","","","","",""
"139","1458","","","","","","","",""
"3","1459","","","","","","","",""
"139","1460","","","","","","","",""
"4","1461","","","","","","","",""
"139","1462","","","","","","","",""
"139","1463","","","","","","","",""
"139","1464","","","","","","","",""
"139","1466","","","","","","","",""
"103","1467","","","","","","","",""
"25","1468","","","","","","","",""
"4","1469","","","","","","","",""
"119","1470","","","","","","","",""
"3","1472","","","","","","","",""
"139","1473","","","","","","","",""
"139","1474","","","","","","","",""
"3","1476","","","","","","","",""
"103","1477","","","","","","","",""
"103","1478","","","","","","","",""
"4","1479","","","","","","","",""
"4","1480","","","","","","","",""
"4","1471","","","","","","","",""
"4","1481","","","","","","","",""
"4","1482","","","","","","","",""
"4","1483","","","","","","","",""
"4","1484","","","","","","","",""
"25","1486","","","","","","","",""
"4","1487","","","","","","","",""
"139","1488","","","","","","","",""
"139","1489","","","","","","","",""
"4","1490","","","","","","","",""
"4","1491","","","","","","","",""
"4","1493","","","","","","","",""
"142","1494","","","","","","","",""
"103","1495","","","","","","","",""
"4","1497","","","","","","","",""
"139","1498","","","","","","","",""
"4","1499","","","","","","","",""
"139","819","","","","","","","",""
"4","1500","","","","","","","",""
"142","1501","","","","","","","",""
"139","45","","","","","","","",""
"126","1504","","","","","","","",""
"4","1505","","","","","","","",""
"4","1506","","","","","","","",""
"4","1507","","","","","","","",""
"3","1508","","","","","","","",""
"139","1509","","","","","","","",""
"139","776","","","","","","","",""
"139","153","","","","","","","",""
"139","1510","","","","","","","",""
"139","204","","","","","","","",""
"142","1452","","","","","","","",""
"4","163","","","","","","","",""
"142","1511","","","","","","","",""
"140","1512","","","","","","","",""
"3","908","","","","","","","",""
"4","1513","","","","","","","",""
"122","1514","","","","","","","",""
"122","1516","","","","","","","",""
"103","1515","","","","","","","",""
"4","1517","","","","","","","",""
"4","1518","","","","","","","",""
"4","1519","","","","","","","",""
"4","1520","","","","","","","",""
"4","1521","","","","","","","",""
"4","1522","","","","","","","",""
"4","1523","","","","","","","",""
"103","1524","","","","","","","",""
"20","78","","","","","","","",""
"4","1526","","","","","","","",""
"4","1528","","","","","","","",""
"4","1529","","","","","","","",""
"4","1531","","","","","","","",""
"143","1533","","","","","","","",""
"4","1534","","","","","","","",""
"4","1536","","","","","","","",""
"144","1537","","","","","","","",""
"4","1538","","","","","","","",""
"144","1539","","","","","","","",""
"144","1540","","","","","","","",""
"103","1541","","","","","","","",""
"144","1542","","","","","","","",""
"144","1535","","","","","","","",""
"144","1525","","","","","","","",""
"144","1543","","","","","","","",""
"143","1544","","","","","","","",""
"143","1545","","","","","","","",""
"143","1546","","","","","","","",""
"143","1547","","","","","","","",""
"4","1485","","","","","","","",""
"144","1527","","","","","","","",""
"144","1548","","","","","","","",""
"143","1549","","","","","","","",""
"144","1550","","","","","","","",""
"144","1551","","","","","","","",""
"144","1552","","","","","","","",""
"144","1553","","","","","","","",""
"144","1554","","","","","","","",""
"144","1555","","","","","","","",""
"142","1556","","","","","","","",""
"4","1557","","","","","","","",""
"145","580","","","","","","","",""
"145","1220","","","","","","","",""
"145","858","","","","","","","",""
"142","1560","","","","","","","",""
"146","1559","","","","","","","",""
"146","1561","","","","","","","",""
"146","1562","","","","","","","",""
"146","1558","","","","","","","",""
"25","1563","","","","","","","",""
"146","1564","","","","","","","",""
"4","1565","","","","","","","",""
"4","1566","","","","","","","",""
"145","19","","","","","","","",""
"145","53","","","","","","","",""
"145","58","","","","","","","",""
"145","60","","","","","","","",""
"145","88","","","","","","","",""
"145","117","","","","","","","",""
"145","118","","","","","","","",""
"145","119","","","","","","","",""
"145","121","","","","","","","",""
"145","122","","","","","","","",""
"145","123","","","","","","","",""
"145","124","","","","","","","",""
"145","156","","","","","","","",""
"145","165","","","","","","","",""
"145","174","","","","","","","",""
"145","192","","","","","","","",""
"145","209","","","","","","","",""
"145","211","","","","","","","",""
"145","254","","","","","","","",""
"145","343","","","","","","","",""
"145","344","","","","","","","",""
"145","346","","","","","","","",""
"145","352","","","","","","","",""
"145","354","","","","","","","",""
"145","355","","","","","","","",""
"145","359","","","","","","","",""
"145","401","","","","","","","",""
"145","403","","","","","","","",""
"145","407","","","","","","","",""
"145","502","","","","","","","",""
"145","644","","","","","","","",""
"145","665","","","","","","","",""
"145","679","","","","","","","",""
"145","753","","","","","","","",""
"145","757","","","","","","","",""
"145","826","","","","","","","",""
"145","868","","","","","","","",""
"145","870","","","","","","","",""
"145","903","","","","","","","",""
"145","915","","","","","","","",""
"145","941","","","","","","","",""
"145","946","","","","","","","",""
"145","971","","","","","","","",""
"145","979","","","","","","","",""
"145","1014","","","","","","","",""
"145","1048","","","","","","","",""
"145","1080","","","","","","","",""
"145","1188","","","","","","","",""
"145","1223","","","","","","","",""
"145","1232","","","","","","","",""
"145","1249","","","","","","","",""
"145","1264","","","","","","","",""
"145","1309","","","","","","","",""
"145","1310","","","","","","","",""
"145","1440","","","","","","","",""
"145","1449","","","","","","","",""
"145","1502","","","","","","","",""
"4","1567","","","","","","","",""
"145","1568","","","","","","","",""
"4","1084","","","","","","","",""
"4","1569","","","","","","","",""
"4","1570","","","","","","","",""
"4","1571","","","","","","","",""
"144","1572","","","","","","","",""
"145","1573","","","","","","","",""
"4","1574","","","","","","","",""
"145","1575","","","","","","","",""
"145","1576","","","","","","","",""
"145","1577","","","","","","","",""
"144","1579","","","","","","","",""
"146","1590","","","","","","","",""
"146","1589","","","","","","","",""
"146","1588","","","","","","","",""
"146","1587","","","","","","","",""
"146","1586","","","","","","","",""
"146","1585","","","","","","","",""
"146","1584","","","","","","","",""
"146","1583","","","","","","","",""
"146","1582","","","","","","","",""
"146","1581","","","","","","","",""
"146","1580","","","","","","","",""
"146","1104","","","","","","","",""
"4","1591","","","","","","","",""
"4","1592","","","","","","","",""
"4","1593","","","","","","","",""
"145","1594","","","","","","","",""
"143","1595","","","","","","","",""
"143","6","","","","","","","",""
"143","15","","","","","","","",""
"143","29","","","","","","","",""
"143","151","","","","","","","",""
"143","152","","","","","","","",""
"143","189","","","","","","","",""
"143","190","","","","","","","",""
"143","222","","","","","","","",""
"143","415","","","","","","","",""
"143","431","","","","","","","",""
"143","432","","","","","","","",""
"143","471","","","","","","","",""
"143","514","","","","","","","",""
"143","515","","","","","","","",""
"143","603","","","","","","","",""
"143","865","","","","","","","",""
"143","920","","","","","","","",""
"143","1082","","","","","","","",""
"143","1152","","","","","","","",""
"143","1244","","","","","","","",""
"144","1596","","","","","","","",""
"25","1169","","","","","","","",""
"25","1296","","","","","","","",""
"144","1530","","","","","","","",""
"25","1044","","","","","","","",""
"25","1041","","","","","","","",""
"144","1598","","","","","","","",""
"4","1599","","","","","","","",""
"103","1600","","","","","","","",""
"25","1191","","","","","","","",""
"146","1604","","","","","","","",""
"146","1603","","","","","","","",""
"146","1602","","","","","","","",""
"146","1601","","","","","","","",""
"146","1605","","","","","","","",""
"146","1195","","","","","","","",""
"144","1606","","","","","","","",""
"139","1607","","","","","","","",""
"25","1608","","","","","","","",""
"4","1609","","","","","","","",""
"145","1610","","","","","","","",""
"4","1611","","","","","","","",""
"4","1612","","","","","","","",""
"139","220","","","","","","","",""
"139","1613","","","","","","","",""
"146","1616","","","","","","","",""
"146","1615","","","","","","","",""
"146","1614","","","","","","","",""
"139","1617","","","","","","","",""
"4","1618","","","","","","","",""
"146","1619","","","","","","","",""
"146","1620","","","","","","","",""
"146","1621","","","","","","","",""
"143","1622","","","","","","","",""
"143","1623","","","","","","","",""
"143","1624","","","","","","","",""
"143","1597","","","","","","","",""
"146","1625","","","","","","","",""
"144","1626","","","","","","","",""
"139","1627","","","","","","","",""
"4","1628","","","","","","","",""
"146","1187","","","","","","","",""
"146","1186","","","","","","","",""
"146","1629","","","","","","","",""
"139","1327","","","","","","","",""
"146","1630","","","","","","","",""
"4","1632","","","","","","","",""
"4","1633","","","","","","","",""
"144","1634","","","","","","","",""
"4","1635","","","","","","","",""
"146","1194","","","","","","","",""
"142","1636","","","","","","","",""
"146","1637","","","","","","","",""
"146","1639","","","","","","","",""
"146","1638","","","","","","","",""
"144","1640","","","","","","","",""
"144","1641","","","","","","","",""
"145","1642","","","","","","","",""
"146","1203","","","","","","","",""
"146","1643","","","","","","","",""
"144","1644","","","","","","","",""
"146","1182","","","","","","","",""
"143","1645","","","","","","","",""
"143","1646","","","","","","","",""
"4","1647","","","","","","","",""
"144","1648","","","","","","","",""
"4","1651","","","","","","","",""
"103","1652","","","","","","","",""
"143","1653","","","","","","","",""
"4","1654","","","","","","","",""
"146","1475","","","","","","","",""
"146","1655","","","","","","","",""
"146","1184","","","","","","","",""
"146","1255","","","","","","","",""
"4","1656","","","","","","","",""
"4","1657","","","","","","","",""
"144","1658","","","","","","","",""
"146","1161","","","","","","","",""
"4","1254","","","","","","","",""
"139","653","","","","","","","",""
"140","1496","","","","","","","",""
"4","1503","","","","","","","",""
"146","1659","","","","","","","",""
"139","1040","","","","","","","",""
"146","1198","","","","","","","",""
"146","1164","","","","","","","",""
"146","1660","","","","","","","",""
"4","1661","","","","","","","",""
"144","1662","","","","","","","",""
"146","1663","","","","","","","",""
"146","1231","","","","","","","",""
"143","1664","","","","","","","",""
"143","1665","","","","","","","",""
"146","1666","","","","","","","",""
"112","1667","","","","","","","",""
"144","1668","","","","","","","",""
"144","1669","","","","","","","",""
"146","262","","","","","","","",""
"143","1670","","","","","","","",""
"143","1671","","","","","","","",""
"4","1672","","","","","","","",""
"144","1673","","","","","","","",""
"146","1674","","","","","","","",""
"146","1675","","","","","","","",""
"146","1676","","","","","","","",""
"144","1677","","","","","","","",""
"144","1678","","","","","","","",""
"146","1181","","","","","","","",""
"144","1532","","","","","","","",""
"144","1679","","","","","","","",""
"146","1680","","","","","","","",""
"146","1681","","","","","","","",""
"146","1683","","","","","","","",""
"146","1682","","","","","","","",""
"146","1684","","","","","","","",""
"103","1685","","","","","","","",""
"4","1686","","","","","","","",""
"4","1109","","","","","","","",""
"146","1687","","","","","","","",""
"4","710","","","","","","","",""
"143","1688","","","","","","","",""
"146","1689","","","","","","","",""
"146","1690","","","","","","","",""
"146","1691","","","","","","","",""
"144","1692","","","","","","","",""
"4","1693","","","","","","","",""
"3","258","","","","","","","",""
"25","1065","","","","","","","",""
"4","1303","","","","","","","",""
"4","1694","","","","","","","",""
"4","1695","","","","","","","",""
"139","1136","","","","","","","",""
"4","1696","","","","","","","",""
"146","1697","","","","","","","",""
"146","1698","","","","","","","",""
"144","1699","","","","","","","",""
"146","1700","","","","","","","",""
"146","1701","","","","","","","",""
"4","1492","","","","","","","",""
"4","1702","","","","","","","",""
"20","1703","","","","","","","",""
"146","1704","","","","","","","",""
"142","1705","","","","","","","",""
"146","1706","","","","","","","",""
"144","1707","","","","","","","",""
"4","1708","","","","","","","",""
"146","1709","","","","","","","",""
"146","1710","","","","","","","",""
"146","1711","","","","","","","",""
"146","1712","","","","","","","",""
"104","1713","","","","","","","",""
"27","1714","","","","","","","",""
"146","1715","","","","","","","",""
"146","1716","","","","","","","",""
"146","1717","","","","","","","",""
"4","1718","","","","","","","",""
"146","1719","","","","","","","",""
"146","1720","","","","","","","",""
"4","1721","","","","","","","",""
"4","1023","","","","","","","",""
"20","1722","","","","","","","",""
"144","1723","","","","","","","",""
"143","1724","","","","","","","",""
"147","104","","","","","","","",""
"111","1725","","","","","","","",""
"4","1726","","","","","","","",""
"4","1727","","","","","","","",""
"4","1728","","","","","","","",""
"4","1729","","","","","","","",""
"145","1000","","","","","","","",""
"146","1730","","","","","","","",""
"143","1578","","","","","","","",""
"139","1454","","","","","","","",""
"144","1731","","","","","","","",""
"20","1732","","","","","","","",""
"20","1733","","","","","","","",""
"143","1734","","","","","","","",""
"4","1735","","","","","","","",""
"143","1737","","","","","","","",""
"4","442","","","","","","","",""
"144","1738","","","","","","","",""
"144","1739","","","","","","","",""
"144","1740","","","","","","","",""
"144","1741","","","","","","","",""
"4","1742","","","","","","","",""
"144","1743","","","","","","","",""
"4","1744","","","","","","","",""
"4","1745","","","","","","","",""
"144","1746","","","","","","","",""
"4","1222","","","","","","","",""
"111","1747","","","","","","","",""
"25","1748","","","","","","","",""
"144","1750","","","","","","","",""
"146","1751","","","","","","","",""
"4","1752","","","","","","","",""
"144","1753","","","","","","","",""
"4","1754","","","","","","","",""
"144","1755","","","","","","","",""
"144","1756","","","","","","","",""
"4","1757","","","","","","","",""
"4","1758","","","","","","","",""
"4","1759","","","","","","","",""
"4","1760","","","","","","","",""
"143","1761","","","","","","","",""
"4","1762","","","","","","","",""
"25","1766","","","","","","","",""
"144","1767","","","","","","","",""
"25","1768","","","","","","","",""
"4","1278","","","","","","","",""
"144","1769","","","","","","","",""
"111","1770","","","","","","","",""
"146","1771","","","","","","","",""
"4","1772","","","","","","","",""
"20","995","","","","","","","",""
"4","1749","","","","","","","",""
"4","1763","","","","","","","",""
"145","1764","","","","","","","",""
"145","1765","","","","","","","",""
"144","1773","","","","","","","",""
"143","1774","","","","","","","",""
"144","1775","","","","","","","",""
"144","1776","","","","","","","",""
"122","1778","","","","","","","",""
"143","1777","","","","","","","",""
"139","1779","","","","","","","",""
"20","1780","","","","","","","",""
"146","1781","","","","","","","",""
"144","1782","","","","","","","",""
"146","1783","","","","","","","",""
"103","1784","","","","","","","",""
"146","1785","","","","","","","",""
"144","1786","","","","","","","",""
"4","1787","","","","","","","",""
"144","1789","","","","","","","",""
"144","1790","","","","","","","",""
"143","1792","","","","","","","",""
"145","1793","","","","","","","",""
"4","1794","","","","","","","",""
"4","1795","","","","","","","",""
"20","964","","","","","","","",""
"144","1796","","","","","","","",""
"143","1145","","","","","","","",""
"139","1797","","","","","","","",""
"146","1798","","","","","","","",""
"4","1799","","","","","","","",""
"144","1800","","","","","","","",""
"112","1801","","","","","","","",""
"146","1802","","","","","","","",""
"146","1803","","","","","","","",""
"139","1301","","","","","","","",""
"20","1450","","","","","","","",""
"143","1804","","","","","","","",""
"139","1805","","","","","","","",""
"139","1806","","","","","","","",""
"4","37","","","","","","","",""
"139","1807","","","","","","","",""
"139","1808","","","","","","","",""
"4","1809","","","","","","","",""
"139","1810","","","","","","","",""
"144","1811","","","","","","","",""
"139","410","","","","","","","",""
"139","1110","","","","","","","",""
"139","245","","","","","","","",""
"4","1812","","","","","","","",""
"4","1813","","","","","","","",""
"4","1814","","","","","","","",""
"4","1815","","","","","","","",""
"144","168","","","","","","","",""
"25","1816","","","","","","","",""
"144","1817","","","","","","","",""
"20","1820","","","","","","","",""
"139","986","","","","","","","",""
"4","1821","","","","","","","",""
"20","1822","","","","","","","",""
"25","1824","","","","","","","",""
"25","1825","","","","","","","",""
"25","1826","","","","","","","",""
"25","1827","","","","","","","",""
"25","1828","","","","","","","",""
"25","1829","","","","","","","",""
"20","1834","","","","","","","",""
"148","1835","","","","","","","",""
"148","1836","","","","","","","",""
"20","1837","","","","","","","",""
"20","1838","","","","","","","",""
"148","1839","","","","","","","",""
"148","1840","","","","","","","",""
"148","1841","","","","","","","",""
"20","1842","","","","","","","",""
"144","1843","","","","","","","",""
"25","1844","","","","","","","",""
"148","1845","","","","","","","",""
"148","1846","","","","","","","",""
"139","1847","","","","","","","",""
"25","1850","","","","","","","",""
"4","1851","","","","","","","",""
"148","1852","","","","","","","",""
"148","1848","","","","","","","",""
"20","1853","","","","","","","",""
"144","1854","","","","","","","",""
"20","1855","","","","","","","",""
"4","1856","","","","","","","",""
"4","658","","","","","","","",""
"4","48","","","","","","","",""
"144","1857","","","","","","","",""
"148","1858","","","","","","","",""
"144","1859","","","","","","","",""
"144","1860","","","","","","","",""
"144","1861","","","","","","","",""
"20","1862","","","","","","","",""
"144","1863","","","","","","","",""
"144","1864","","","","","","","",""
"144","1865","","","","","","","",""
"144","1866","","","","","","","",""
"103","1867","","","","","","","",""
"4","1165","","","","","","","",""
"4","1868","","","","","","","",""
"4","1869","","","","","","","",""
"14","1870","","","","","","","",""
"144","1871","","","","","","","",""
"144","1872","","","","","","","",""
"144","1873","","","","","","","",""
"4","1874","","","","","","","",""
"4","1876","","","","","","","",""
"4","1877","","","","","","","",""
"4","1878","","","","","","","",""
"4","1879","","","","","","","",""
"4","1880","","","","","","","",""
"4","1881","","","","","","","",""
"4","1882","","","","","","","",""
"143","1883","","","","","","","",""
"4","1884","","","","","","","",""
"4","1885","","","","","","","",""
"4","1761","","","","","","","",""
"4","1886","","","","","","","",""
"4","1887","","","","","","","",""
"4","1888","","","","","","","",""
"4","1889","","","","","","","",""
"144","1890","","","","","","","",""
"4","547","","","","","","","",""
"144","1892","","","","","","","",""
"144","1893","","","","","","","",""
"144","1894","","","","","","","",""
"146","1889","","","","","","","",""
"4","1895","","","","","","","",""
"4","1896","","","","","","","",""
"20","1897","","","","","","","",""
"4","1898","","","","","","","",""
"144","1899","","","","","","","",""
"148","1617","","","","","","","",""
