"VENCOD","CLICOD","","","","","","","",""
"104","517","","","","","","","",""
"104","518","","","","","","","",""
"104","519","","","","","","","",""
"104","520","","","","","","","",""
"104","521","","","","","","","",""
"104","522","","","","","","","",""
"104","523","","","","","","","",""
"104","524","","","","","","","",""
"104","525","","","","","","","",""
"104","526","","","","","","","",""
"103","527","","","","","","","",""
"106","532","","","","","","","",""
"104","533","","","","","","","",""
"104","535","","","","","","","",""
"104","538","","","","","","","",""
"104","539","","","","","","","",""
"103","542","","","","","","","",""
"104","543","","","","","","","",""
"103","546","","","","","","","",""
"103","549","","","","","","","",""
"103","550","","","","","","","",""
"103","559","","","","","","","",""
"4","561","","","","","","","",""
"108","562","","","","","","","",""
"103","563","","","","","","","",""
"25","564","","","","","","","",""
"4","566","","","","","","","",""
"103","567","","","","","","","",""
"103","569","","","","","","","",""
"5","429","","","","","","","",""
"103","570","","","","","","","",""
"4","571","","","","","","","",""
"103","573","","","","","","","",""
"109","575","","","","","","","",""
"109","576","","","","","","","",""
"109","577","","","","","","","",""
"103","578","","","","","","","",""
"103","579","","","","","","","",""
"103","581","","","","","","","",""
"4","582","","","","","","","",""
"103","583","","","","","","","",""
"25","586","","","","","","","",""
"25","587","","","","","","","",""
"4","588","","","","","","","",""
"109","591","","","","","","","",""
"109","592","","","","","","","",""
"109","590","","","","","","","",""
"5","594","","","","","","","",""
"5","595","","","","","","","",""
"104","596","","","","","","","",""
"25","598","","","","","","","",""
"25","597","","","","","","","",""
"103","604","","","","","","","",""
"4","606","","","","","","","",""
"4","608","","","","","","","",""
"25","613","","","","","","","",""
"103","615","","","","","","","",""
"5","452","","","","","","","",""
"5","345","","","","","","","",""
"20","81","","","","","","","",""
"103","347","","","","","","","",""
"102","348","","","","","","","",""
"102","391","","","","","","","",""
"102","392","","","","","","","",""
"20","350","","","","","","","",""
"25","351","","","","","","","",""
"103","353","","","","","","","",""
"10","356","","","","","","","",""
"10","357","","","","","","","",""
"25","358","","","","","","","",""
"10","360","","","","","","","",""
"103","361","","","","","","","",""
"25","363","","","","","","","",""
"111","365","","","","","","","",""
"111","366","","","","","","","",""
"103","456","","","","","","","",""
"104","476","","","","","","","",""
"103","368","","","","","","","",""
"4","369","","","","","","","",""
"25","31","","","","","","","",""
"111","372","","","","","","","",""
"111","371","","","","","","","",""
"104","373","","","","","","","",""
"103","374","","","","","","","",""
"104","375","","","","","","","",""
"104","376","","","","","","","",""
"4","572","","","","","","","",""
"4","378","","","","","","","",""
"103","379","","","","","","","",""
"111","380","","","","","","","",""
"5","381","","","","","","","",""
"104","393","","","","","","","",""
"104","394","","","","","","","",""
"111","382","","","","","","","",""
"104","383","","","","","","","",""
"104","384","","","","","","","",""
"104","386","","","","","","","",""
"104","385","","","","","","","",""
"20","395","","","","","","","",""
"111","387","","","","","","","",""
"112","399","","","","","","","",""
"112","398","","","","","","","",""
"112","397","","","","","","","",""
"112","388","","","","","","","",""
"112","396","","","","","","","",""
"4","616","","","","","","","",""
"112","617","","","","","","","",""
"112","618","","","","","","","",""
"112","619","","","","","","","",""
"10","621","","","","","","","",""
"112","622","","","","","","","",""
"112","623","","","","","","","",""
"11","624","","","","","","","",""
